brand_slug,part_number,title,url,availability,category,series,raw
"mitsubishi","q68adi","All Products","https://www.obsoautomation.com/product/q68adi/","","","","{""snippet"":""All Products Per Page 12 24 60 Product Manufacturer View XQ68ADIAvailableMITSUBISHI ELECTRIC 8-Channel Analog Input Module[…]MITSUBISHI ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveXHA83NC-S FRONT COVERAvailableMITSUBISHI ELECTRIC Front and back covers for motor[…]MITSUBISHI ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveXFX2N-8ER-ES/ULAvailableMITSUBISHI ELECTRIC MELSEC-F SERIES[…]MITSUBISHI ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveXMELSECAvailableMITSUBISHI ELECTRIC Programmable Controllers MELSEC[…]MITSUBISHI ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveXCM150DY-24HAvailableMITSUBISHI ELECTRIC[…]MITSUBISHI ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveXOBA13-1S638EEAvailableMITSUBISHI ELECTRIC[…]MITSUBISHI ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveXTH-120.3-0.5AAvailableMITSUBISHI ELECTRIC[…]MITSUBISHI ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveXBD650A003G53AvailableMITSUBISHI ELECTRIC[…]MITSUBISHI ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveXSE-E-FVENCODERAvailableMITSUBISHI ELECTRIC[…]MITSUBISHI ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveXSE-E-FVBACKCOVERAvailableMITSUBISHI ELECTRIC[…]MITSUBISHI ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveXS-A10AvailableMITSUBISHI ELECTRIC[…]MITSUBISHI ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemoveXTB740-037KAvailableMITSUBISHI ELECTRIC[…]MITSUBISHI ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove 1 2 3 … 48 →""}"
"mitsubishi","ha83nc-sfrontcover","HA83NC-S FRONT COVER","https://www.obsoautomation.com/product/ha83nc-sfrontcover/","","","","{""snippet"":""XHA83NC-S FRONT COVERAvailableMITSUBISHI ELECTRIC Front and back covers for motor[…]MITSUBISHI ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"mitsubishi","fx2n-8er-esul","FX2N-8ER-ES/UL","https://www.obsoautomation.com/product/fx2n-8er-esul/","","","","{""snippet"":""XFX2N-8ER-ES/ULAvailableMITSUBISHI ELECTRIC MELSEC-F SERIES[…]MITSUBISHI ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"mitsubishi","melsec","MELSEC","https://www.obsoautomation.com/product/melsec/","","","","{""snippet"":""XMELSECAvailableMITSUBISHI ELECTRIC Programmable Controllers MELSEC[…]MITSUBISHI ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"mitsubishi","cm150dy-24h","CM150DY-24H","https://www.obsoautomation.com/product/cm150dy-24h/","","","","{""snippet"":""XCM150DY-24HAvailableMITSUBISHI ELECTRIC[…]MITSUBISHI ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"mitsubishi","oba13-1s638ee","OBA13-1S638EE","https://www.obsoautomation.com/product/oba13-1s638ee/","","","","{""snippet"":""XOBA13-1S638EEAvailableMITSUBISHI ELECTRIC[…]MITSUBISHI ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"mitsubishi","th-1203-05a","TH-120.3-0.5A","https://www.obsoautomation.com/product/th-1203-05a/","","","","{""snippet"":""XTH-120.3-0.5AAvailableMITSUBISHI ELECTRIC[…]MITSUBISHI ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"mitsubishi","bd650a003g53","BD650A003G53","https://www.obsoautomation.com/product/bd650a003g53/","","","","{""snippet"":""XBD650A003G53AvailableMITSUBISHI ELECTRIC[…]MITSUBISHI ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"mitsubishi","se-e-fvencoder","SE-E-FVENCODER","https://www.obsoautomation.com/product/se-e-fvencoder/","","","","{""snippet"":""XSE-E-FVENCODERAvailableMITSUBISHI ELECTRIC[…]MITSUBISHI ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"mitsubishi","se-e-fvbackcover","SE-E-FVBACKCOVER","https://www.obsoautomation.com/product/se-e-fvbackcover/","","","","{""snippet"":""XSE-E-FVBACKCOVERAvailableMITSUBISHI ELECTRIC[…]MITSUBISHI ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
